"ControlName";"JSONfield";"ControlType";"ListElement";"Divideby";"Labels"
"zigguratSplinePoints";"spline_points";"slider";1;1;"none"
"zigguratAspectRatio";"aspect_ratio";"slider";1;1;"none"
"zigguratHopx";"factor_hop_x";"slider";1;1;"none"
"zigguratAlphaLevel";"alpha_level";"slider";1;1;"none"
"zigguratAlphaLevelLink";"alpha_link";"slider";1;1;"none"
"zigguratLinkSize";"size_link";"slider";1;1;"none"
"zigguratCoreBoxSize";"corebox_border_size";"slider";1;1;"none"
"zigguratYDisplaceSA2";"displace_y_a";"slider";2;1;"none"
"zigguratYDisplaceSA3";"displace_y_a";"slider";3;1;"none"
"zigguratYDisplaceSA4";"displace_y_a";"slider";4;1;"none"
"zigguratYDisplaceSA5";"displace_y_a";"slider";5;1;"none"
"zigguratYDisplaceSA6";"displace_y_a";"slider";6;1;"none"
"zigguratYDisplaceSA7";"displace_y_a";"slider";7;1;"none"
"zigguratYDisplaceSA8";"displace_y_a";"slider";8;1;"none"
"zigguratYDisplaceSA9";"displace_y_a";"slider";9;1;"none"
"zigguratYDisplaceSA10";"displace_y_a";"slider";10;1;"none"
"zigguratYDisplaceSA11";"displace_y_a";"slider";11;1;"none"
"zigguratYDisplaceSA12";"displace_y_a";"slider";12;1;"none"
"zigguratYDisplaceSA13";"displace_y_a";"slider";13;1;"none"
"zigguratYDisplaceSA14";"displace_y_a";"slider";14;1;"none"
"zigguratYDisplaceSA15";"displace_y_a";"slider";15;1;"none"
"zigguratYDisplaceSA16";"displace_y_a";"slider";16;1;"none"
"zigguratYDisplaceSA17";"displace_y_a";"slider";17;1;"none"
"zigguratYDisplaceSA18";"displace_y_a";"slider";18;1;"none"
"zigguratYDisplaceSA19";"displace_y_a";"slider";19;1;"none"
"zigguratYDisplaceSA20";"displace_y_a";"slider";20;1;"none"
"zigguratYDisplaceSB2";"displace_y_b";"slider";2;1;"none"
"zigguratYDisplaceSB3";"displace_y_b";"slider";3;1;"none"
"zigguratYDisplaceSB4";"displace_y_b";"slider";4;1;"none"
"zigguratYDisplaceSB5";"displace_y_b";"slider";5;1;"none"
"zigguratYDisplaceSB6";"displace_y_b";"slider";6;1;"none"
"zigguratYDisplaceSB7";"displace_y_b";"slider";7;1;"none"
"zigguratYDisplaceSB8";"displace_y_b";"slider";8;1;"none"
"zigguratYDisplaceSB9";"displace_y_b";"slider";9;1;"none"
"zigguratYDisplaceSB10";"displace_y_b";"slider";10;1;"none"
"zigguratYDisplaceSB11";"displace_y_b";"slider";11;1;"none"
"zigguratYDisplaceSB12";"displace_y_b";"slider";12;1;"none"
"zigguratYDisplaceSB13";"displace_y_b";"slider";13;1;"none"
"zigguratYDisplaceSB14";"displace_y_b";"slider";14;1;"none"
"zigguratYDisplaceSB15";"displace_y_b";"slider";15;1;"none"
