"","Acalyptrate sp1 M_PL_062","Allograpta nasuta","Apis mellifera","Brachymyrmex sp1 M_PL_062","Chaetocnema sp1 M_PL_062","Cheloninae sp1 M_PL_062","Chrysomya megacephala ","Dioxyna sororcula ","Diptera sp1 M_PL_062","Episyrphus sp1 M_PL_062","Eristalinus flaveolus","Fannia pusio ","Graphomya maculata","Henotesia narcissus","Homoneura sp1 M_PL_062","Hyadina sp1 M_PL_062","Ischiodon aegyptius ","Leptotes pirithous","Limnophora quaterna ","Lygaeidae sp1 M_PL_062","Lygistorrhina sp1 M_PL_062","Mauritiborium undulatus ","Musca domestica","Nacoleia sp1 M_PL_062","Pachycerina crinicornis ","Panara naso","Paragus borbonicus","Pelecophora intemipta","Phelsuma cepediana","Phorinia sp1 M_PL_062","Polistes hebraeus","Psilopa iceryae ","Pteromalidae sp1 M_PL_062","Pterophoridae sp1 M_PL_062","Sarcophaga arno ","Sepsis lateralis ","Stomorhina lunata","Stomoxys calcitrans","Stomoxys niger","Syritta nigrofemorata","Tarundia servillei","Technomyrmex albipes ","Unidentified sp7 M_PL_062","Villa unifasciata","Zosterops mauritianus"
"Antirhea borbonica",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",0,1,46,13,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,23,0,0,2,0,0,0,0,0
"Bertiera zaluzania ",0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Chassalia coriacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0
"Claoxylon linostachys",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croton fothergillifolius",0,0,0,1,7,0,2,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,7,0,9,0,1,0,0,0,0,0,0,0,1,0,8,1,2,1,0,0,1,1,0
"Dodonaea viscosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythroxylum macrocarpum",0,2,0,0,1,0,2,0,0,1,3,0,0,0,0,0,1,1,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,1,0,3,0,0,0,0,0
"Molinaea alternifolia",0,0,18,11,0,0,6,0,0,0,2,30,2,0,0,0,0,3,0,0,0,0,2,5,2,0,5,0,0,0,0,0,0,0,0,0,19,1,3,0,0,7,0,1,0
"Psiadia terebinthina",0,2,8,22,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,1,0,2,0,1,0,0,3,1,0,0,1,0,0,23,0,1,3,0,0,5,1,0
"Roussea simplex ",0,7,12,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,6,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Stillingia lineata",3,0,0,1,11,0,0,0,7,0,0,7,0,0,3,1,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0
"Toddalia asiatica",0,1,0,3,0,1,1,2,0,0,1,5,0,2,0,0,0,1,0,0,0,0,2,0,57,0,0,3,0,7,0,8,0,0,0,4,23,0,1,3,0,11,0,0,0
