"","Acanthus mollis","Anchusella cretica","Asphodelus microcarpus","Bituminaria bituminosa","Borago officinalis","Calamintha nepeta","Carduus pycnocephalus","Carlina hispanica","Cirsium creticum","Crepis leontodontoides","Echium plantagineum","Fedia graciliflora","Galactites tomentosa","Hirschfeldia incana","Hypericum hircinum","Hypericum perforatum","Isatis tinctoria","Lamium flexuosum","Malva silvestris","Micromeria canescens","Onopordum illyricum","Papaver rhoeas","Ranunculus bulbosus","Robia peregrina","Rubus ulmifolius","Silene latifolia","Sixalix atropurpurea","Taraxacum officinale","Thapsia garganica","Trifolium incarnatum","Trifolium pratense","Verbascum pulverulentum","Vicia villosa"
"Bombus campestris",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus hortorum",0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus lapidarius",0,0,0,0,0,0,0,2,0,2,0,1,13,0,2,1,1,0,1,0,15,0,0,0,32,0,0,1,0,1,0,0,0
"Bombus pascuorum",0,0,0,0,0,3,1,4,0,1,0,0,6,2,7,1,0,0,0,1,2,2,0,0,11,0,1,1,0,1,4,0,3
"Bombus pratorum",0,0,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Bombus ruderatus",1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"Bombus sylvarum",0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Bombus terrestris",0,1,1,0,0,0,0,4,1,5,2,3,12,1,29,0,0,0,0,0,17,8,1,1,40,0,0,3,1,0,0,1,4
