"","Phacelia secunda","Senecio bustillosianus","Stachys albi","Adesmia conferta","Calandrinia affinis","Senecio erucaeformis","Astragalus curvicaulis","Chaetanthera euphrasioides","Adesmia radicifolia","Mulinum spinosum","Sisyrinchium arenarium","Chuquiraga oppositifolia","Scypanthus elegans","Senecio francisci","Verbena scoparia","Adesmia aconcaguensis","Berberis empetrifolia","Calandrinia uspallatensis","Cerastium arvense","Haplopappus sericeus","Hypochoe sp1 M_PL_001","Mustisia sinuata","Adesmia brachy","Alstroemeria pallida","Astragalus sp1 M_PL_001","Euphorbia portulacoides","Madia sativa","Nassauvia heterophylla","Perezia carthamoides","Sisyrinchium junceum","Anarthrophyllum cumingii","Loasa heterophylla","Quinchamalium chilensis","Sanicula graveolens","Sisyrinchium philippii","Adesmia exilis","Bowlesia tropaeolifolia","Calceolaria montana","Chaetanthera microphylla","Haplopappus chysanthemifolius","Leucocoryne pauciflora","Mustisia acerosa","Mustisia subulata","Oxalis cinerea","Oxalis geminata","Oxalis sp1 M_PL_001","Schizanthus grahamii","Senecio lithostaurus","Valeriana gracileps","Asteriscium aemocarp","Berberis montana","Erodium cicutarium","Leuceria landbeckii","Nardophyllum lanatum","Rhodophiala montana","Trichocereus ch","Tropaeolum sessilifolium","Viviania marifolia","Acaena pinn","Adesmia montana","Barneoudia chilensis","Calceolaria arac","Calceolaria biflora","Calceolaria indet","Cardamine nivalis","Clarkia tenella","Collomia biflora","Cynoglossum sp1 M_PL_001","Hippeastrum uni","Lathyrus subandinus","Lepidium suffruticosum","Leucocoryne ixioides","Loasa sigmoidea","Lupinus microcarpus","Malesherbia linearifolius","Nothoscordum andinum","Oenothera acaulis","Salpiglossus sp1 M_PL_001","Solanum tomatillo","Solenomelus sisyrinchium","Tetraglochin alatum","Tristagama sessile","Tropaeolum polyph","Tropaeolum tricolor"
"Scaeva melanostoma",1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Unidentified sp1 M_PL_001",1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1
"Unidentified sp2 M_PL_001",0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile semirufa",1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Centris cineraria",1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile sp1 M_PL_001",1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caenohalictus sp1 M_PL_001",1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloscirtetica sp1 M_PL_001",1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Auca coctei-pales",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthidium chilensis",1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
