"X","Amphipsylla.anceps","Amphipsylla.montana","Amphipsylla.phaiomydis","Amphipsylla.primaris","Callopsylla.caspia","Callopsylla.lagomys","Ceratophyllus.sciurorum","Ceratophyllus.sinicus","Citellophilus.lebedewi","Frontopsylla.ambigua","Frontopsylla.elata","Frontopsylla.ornata","Frontopsylla.protera","Leptopsylla.nana","Leptopsylla.taschenbergi","Neopsylla.meridiana","Neopsylla.pleskei","Nosopsyllus.simla","Oropsylla.silantiewi","Paraneopsylla.ioffi","Pectinoctenus.nemorosa","Rhadinopsylla.altifrons","Rhadinopsylla.li"
"Alticola argentatus",5,40,7,0,72,0,0,0,0,3,5,0,0,7,0,0,7,0,0,0,2,0,0
"Apodemus uralensis",11,3,3,0,33,0,0,6,3,16,5,9,7,32,3,0,24,0,0,2,189,2,0
"Cricetulus migratorius",26,15,15,7,47,0,0,0,3,0,0,2,0,2,0,4,10,0,0,0,0,3,0
"Dryomys nitedula",0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marmota caudata",0,0,0,0,0,0,0,68,39110,8,14,0,0,0,0,0,0,0,278,2,0,0,619
"Microtus juldaschi",2,3,253,6,62,7,2,0,6,2,147,5,6,46,0,6,5,0,0,0,15,2,0
"Rattus turkestanicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0
