"","Apis mellifera","Ceratitis roas","Chaetocnema sp1 M_PL_072","Chrysomya megacephala ","Diptera sp1 M_PL_072","Diptera sp2 M_PL_072","Dysauxes florida","Eristalinus flaveolus","Fannia pusio ","Graphomya maculata","Henotesia narcissus","Homoneura sp1 M_PL_072","Homoneura sp2 M_PL_072","Limnophora quaterna ","Lygistorrhina sp1 M_PL_072","Melanostoma annulipes","Musca domestica","Nacoleia sp1 M_PL_072","Nacoleia sp2 M_PL_072","Ophyra capensis ","Orchisia costata ","Orthellia albigena ","Pachycerina crinicornis ","Paragus borbonicus","Phorinia sp1 M_PL_072","Sapromyza sp1 M_PL_072","Stomorhina lunata","Stomoxys calcitrans","Stomoxys niger","Technomyrmex albipes ","Unidentified sp1 M_PL_072"
"Claoxylon linostachys",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croton fothergillifolius",0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0
"Dodonaea viscosa",0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,3,0,0,0,1,0,1,0,0,0,2,2,0,1,0
"Erythroxylum macrocarpum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0
"Psiadia terebinthina",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,2,0,1
"Sideroxylon cinereum",38,0,1,1,0,0,1,1,11,0,1,0,1,1,0,0,0,0,2,1,0,1,1,1,1,1,2,2,4,0,0
"Trochetia blackburniana",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
