"X","Amalaraeus.penicilliger","Amphipsylla.sibirica","Corrodopsylla.birulai","Ctenophthalmus.uncinatus","Megabothris.rectangulatus","Palaeopsylla.soricis","Peromyscopsylla.silvatica","Rhadinopsylla.integella"
"Arvicola terrestris",2,0,0,0,3,0,0,0
"Clethrionomys glareolus",27,5,2,22,44,2,68,0
"Clethrionomys rufocanus",7,0,0,3,4,0,3,0
"Clethrionomys rutilus",57,17,0,71,251,2,140,6
"Microtus agrestis",3,5,2,17,53,0,9,0
"Microtus oeconomus",7,6,0,8,17,0,7,0
"Myopus schisticolor",0,2,0,0,5,0,0,0
"Neomys fodiens",0,0,5,0,0,0,0,0
"Sicista betulina",0,0,0,0,2,0,0,0
