"","Amazona albifrons","Aratinga astec","Centurus aurifrons","Centurus pygmaeus","Cissilopha yucatanica","Cotinga amabilis","Cyanocorax yncas","Dives dives","Euphonia affinis","Euphonia hirundinacea","Icterus auratus","Icterus chrysater","Icterus gularis","Icterus mesomelas ","Icterus prosthemelas","Megarynchus pitangua","Myiozetetes similis","Ortalis vetula","Pitangus sulphuratus","Psilorhinus morio","Pteroglossus torguatus","Ramphastos sulfuratus","Saltator atriceps","Tityra semifasciata","Trogon citreolus","Turdus grayi","Tyrannus melancholicus"
"Ehretia tinifolia",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ficus padifolia",0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
"Metopium browneii",1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1
"Neea psychotrioides",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0
"Talisia olivaeformis",1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0
