"","Amazilia versicolor","Chlorostilbon olivaresi","Florisuga mellivora","Phaethornis bourcieri","Phaethornis malaris","Phaethornis ruber","Thalurania furcata","Topaza pyra"
"Aechmea chantiniii",0,38,0,13,0,1,0,0
"Aechmea contracta",0,0,0,23,0,1,0,0
"Aechmea corymbosa",0,0,0,10,0,0,0,0
"Aechmea rubiginosa",0,0,0,3,0,0,0,0
"Alloplectus savanarum",0,0,0,19,3,0,0,0
"Amasonia arborea",1,0,0,4,0,0,0,0
"Aphelandra macrostachya",0,0,0,30,22,0,0,0
"Billbergia decora",0,0,0,16,9,0,0,0
"Bromelia sp1 M_PL_071",0,0,0,3,2,0,0,0
"Calathea zingiberea",0,0,0,3,0,0,2,0
"Columnea ericae",0,0,0,5,0,0,1,0
"Costus scaber",0,0,0,7,0,0,0,0
"Decagonocarpus cornutus",0,102,0,0,0,0,0,0
"Drymonia semicordata",0,0,0,28,1,0,0,0
"Ferdinandusa sprucei",0,2,0,1,0,0,0,0
"Gurania rufipila",0,0,0,3,0,0,0,0
"Heliconia sp1 M_PL_071",0,0,0,6,18,0,0,0
"Heliconia tarumaensis",0,0,0,3,2,0,0,0
"Ischnosiphon lasiocoleus",0,0,0,2,0,17,0,0
"Isertia hypoleuca",0,0,1,5,41,0,4,1
"Isertia rosea",0,0,0,0,4,0,2,0
"Justicia cuatrecasii",0,0,0,3,0,0,0,0
"Markea coccinea",0,0,0,13,0,0,2,0
"Monotagma secundum",0,0,0,32,0,1,8,0
"Palicourea sp1 M_PL_071",0,0,0,17,0,0,0,0
"Palicourea subspicata",0,0,0,3,0,0,0,0
"Passiflora sp1 M_PL_071",0,0,0,2,1,0,2,0
"Passiflora vitifolia",0,0,0,9,16,0,0,0
"Payparola hulkiana",0,0,0,33,1,3,4,0
"Pepinia sp1 M_PL_071",0,0,0,8,12,0,0,0
"Psittacanthus lasianthus",0,1,0,10,0,0,0,0
"Pslicourea quadrifolia",0,0,0,1,0,1,12,0
"Psychotria bahiensis",0,0,0,9,0,2,3,0
"Psychotria peppigiana",0,0,0,12,0,0,0,0
"Psychotria platypoda",0,0,0,0,0,0,14,0
"Renealmia sp1 M_PL_071",0,0,0,0,0,1,0,0
"Retiniphyllum rhabdocalyx",0,5,0,29,0,0,40,0
"Ryania pyrifera",0,0,0,7,0,0,9,0
"Satyria panurensis",0,9,0,11,0,0,7,0
"Symphonia globulifera",0,0,0,5,0,0,12,0
"Tabernamontana macrocalyx",0,0,0,13,0,0,0,0
"Tachia occidentalis",0,0,0,23,11,0,0,0
"Vriesea chrysostachys",0,2,0,6,0,0,0,0
"Zygia lathetica",0,0,0,3,2,0,3,0
