"X","Amalaraeus.penicilliger","Amphipsylla.sibirica","Amphipsylla.vinogradovi","Catallagia.dacenkoi","Ctenophthalmus.assimilis","Frontopsylla.luculenta","Leptopsylla.segnis","Megabothris.calcarifer","Megabothris.rectangulatus","Neopsylla.bidentatiformis","Oropsylla.alaskensis","Peromyscopsylla.ostsibirica","Rhadinopsylla.rothschildi"
"Apodemus peninsulae",0,0,2,0,0,0,0,0,0,0,0,0,0
"Clethrionomys rufocanus",3,2,0,3,2,0,2,0,2,0,0,2,0
"Clethrionomys rutilus",155,0,0,8,11,3,0,18,6,0,0,0,2
"Cricetulus barabensis",0,0,5,0,0,2,0,0,0,4,0,0,0
"Micromys minutus",0,0,0,0,0,0,0,6,0,0,0,0,0
"Microtus maximowiczii",412,0,0,14,35,0,0,242,0,0,0,0,0
"Microtus oeconomus",7,0,0,0,0,0,0,41,3,0,0,2,0
"Spermophilus undulatus",0,0,0,0,0,22,0,0,0,4,14,0,0
