"","Alloscirtetica rufitarsis","Alloscirtetica sp1 M_PL_002","Andinus venustus","Anthidium funereum","Anthidium sp1 M_PL_002","Ateloglutus sp1 M_PL_002","Auca coctei","Bombus dahlbomii","Caenohalictus sp1 M_PL_002","Centris cana","Centris cineraria","Centris nigerrima","Chilicola sp1 M_PL_002","Coleoptera sp8 M_PL_002","Colletes fulvipes","Colletes sp1 M_PL_002","Dasybasis sp1 M_PL_002","Diptera sp2 M_PL_002","Etcheverrius chilensis","Faunula leucoglene","Gayella reedi","Habromyia lipoflava","Hymenoptera sp4 M_PL_002","Hypodynerus sp1 M_PL_002","Hypodynerus sp2 M_PL_002","Hypodynerus sp3 M_PL_002","Lepidoptera sp7 M_PL_002","Lyophlaeba lugubris","Megachile semirufa","Megachile sp1 M_PL_002","Megachile sp2 M_PL_002","Megachile sp3 M_PL_002","Megachile sp4 M_PL_002","Megachile sp5 M_PL_002","Phulia nymphula","Prosopochaeta caliginosa","Prosopochaeta sp1 M_PL_002","Pseudolucia chilensis","Scaeva melanostom","Spathipalpus philippii","Tatochila mercedis","Tatochila sp1 M_PL_002","Unidentified sp1 M_PL_002","Unidentified sp10 M_PL_002","Unidentified sp11 M_PL_002","Unidentified sp12 M_PL_002","Unidentified sp13 M_PL_002","Unidentified sp14 M_PL_002","Unidentified sp15 M_PL_002","Unidentified sp16 M_PL_002","Unidentified sp3 M_PL_002","Unidentified sp5 M_PL_002","Unidentified sp6 M_PL_002","Unidentified sp9 M_PL_002","Vibrissomyia sp1 M_PL_002","Villa arenari","Villa flavicura","Villa gayi","Villa hypoxantha","Villa semifuscata","Villa sp1 M_PL_002","Villa verdensis","Yramea lathonoides","Yramea modesta"
"Calceolaria arachnoides",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calceolaria biflora",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cardamine nivalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerastium arvense",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1
"Cerastium montioides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Chaetanthera apiculata ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chaetanthera euphrasioides",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
"Chaetanthera pusilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chuquiraga oppositifolia",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Discaria nana",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
