"X","Amphipsylla.rossica","Ctenophthalmus.agyrtes","Ctenophthalmus.assimilis","Ctenophthalmus.orientalis","Ctenophthalmus.wagneri","Doratopsylla.dasycnema","Hystrichopsylla.talpae","Leptopsylla.segnis","Leptopsylla.taschenbergi","Megabothris.turbidus","Megabothris.walkeri","Nosopsyllus.consimilis","Nosopsyllus.mokrzeckyi","Palaeopsylla.soricis","Peromyscopsylla.bidentata"
"Apodemus agrarius",0,3,26,3,6,0,8,1,53,3,1,2,1,0,0
"Apodemus flavicollis",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"Apodemus uralensis",0,6,0,1,2,0,2,3,3,1,0,7,0,2,2
"Arvicola terrestris",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Clethrionomys glareolus",0,15,19,1,0,0,4,0,0,5,0,0,0,1,5
"Cricetulus migratorius",0,0,0,1,0,0,0,1,0,0,0,6,0,0,0
"Micromys minutus",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Microtus arvalis",29,2,14,18,26,0,4,19,2,1,3,13,7,1,3
"Sorex araneus",0,1,1,0,0,1,0,0,1,0,1,0,0,2,1
