"","Anthomyia faciata","Apis mellifera","Brachymyrmex sp1 M_PL_070","Chaetocnema sp1 M_PL_070","Chrysomya megacephala ","Episyrphus sp1 M_PL_070","Eristalinus flaveolus","Macroglossum milvus","Melanagromyza sojae ","Musca domestica","Nacoleia sp1 M_PL_070","Ornidia obesa","Panara naso","Paragus borbonicus","Phelsuma cepediana","Phorinia sp1 M_PL_070","Polistes hebraeus","Syritta sp1 M_PL_070","Technomyrmex albipes ","Thelairodrino sp1 M_PL_070"
"Calophyllum eputamen",0,1,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casearia coriacea",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"Cordemoya integrifolia",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diospyros revaughanii",0,16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Euodia obtusifolia",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera sp1 M_PL_070",1,0,0,0,1,0,3,1,0,2,0,0,2,0,0,0,0,0,0,0
"Labourdonnaisia callophylloides",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Ocotea laevigata",0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0
"Stillingia lineata",0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
"Syzygium commersonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Syzygium coriaceum",0,0,3,2,1,0,0,0,1,8,0,1,0,1,0,1,0,1,7,0
"Syzygium mauritianum",0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Syzygium petrinese",0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,12,0
"Tristhema mauritiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
