"","Apis mellifera","Ceratina tabescens","Diptera sp1 M_PL_115","Hemipyrellia germana","Hemipyrellia sp1 M_PL_115","Lasioglossum mahense","Lygistorrhina sp1 M_PL_115","Megachile seychellensis","Neophyllomyza approximatonervis","Ornidia obesa","Phelsuma sp1 M_PL_115","Rhiparida seychellensis","Rhynchium brunneum","Tricimba seychellensis","Unidentified sp2 M_PL_115","Unidentified sp3 M_PL_115","Unidentified sp4 M_PL_115","Xylocopa caffra"
"Canthium bibracteatum",11,2,0,1,2,12,0,10,0,1,0,0,0,0,0,0,0,0
"Erythroxylum sechellarum",9,0,2,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0
"Nephrosperma vanhoutteanum",29,0,0,0,0,31,1,0,4,0,1,21,0,2,3,0,2,0
"Ochna kirkii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Paragenipa wrightii",6,0,1,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0
"Premna serratifolia",0,0,0,0,0,2,0,1,0,0,0,0,7,0,0,0,0,0
