"X","Amalaraeus.arvicolae","Amalaraeus.penicilliger","Amphipsylla.rossica","Atyphloceras.nuperus","Ceratophyllus.sciurorum","Ctenophthalmus.agyrtes","Ctenophthalmus.assimilis","Ctenophthalmus.bisoctodentatus","Ctenophthalmus.congener","Ctenophthalmus.obtusus","Ctenophthalmus.solutus","Ctenophthalmus.uncinatus","Doratopsylla.dasycnema","Hystrichopsylla.orientalis","Hystrichopsylla.talpae","Leptopsylla.segnis","Megabothris.turbidus","Nosopsyllus.fasciatus","Palaeopsylla.kohauti","Palaeopsylla.soricis","Peromyscopsylla.bidentata","Peromyscopsylla.fallax","Peromyscopsylla.silvatica","Rhadinopsylla.integella","Rhadinopsylla.pentacantha"
"Apodemus agrarius",0,0,0,0,0,271,5,1,1,0,28,2,0,15,23,150,62,13,0,5,1,3,0,3,0
"Apodemus flavicollis",0,3,0,1,3,313,6,0,2,2,84,3,4,13,8,19,158,5,0,8,1,0,2,4,1
"Apodemus sylvaticus",0,3,1,0,0,115,1,0,3,0,16,3,1,1,1,25,37,4,0,1,0,0,0,3,0
"Apodemus uralensis",0,3,0,0,0,26,10,0,0,0,38,0,1,3,0,0,14,0,0,0,2,0,0,0,0
"Arvicola terrestris",0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clethrionomys glareolus",2,458,0,9,2,850,21,0,69,64,5,95,9,16,13,4,306,2,0,5,344,43,172,67,3
"Crocidura suaveolens",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0
"Dryomys nitedula",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micromys minutus",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus agrestis",13,31,1,1,0,226,39,0,3,1,2,1,1,15,18,2,36,0,0,1,72,6,36,5,0
"Microtus arvalis",2,28,12,0,0,240,132,0,3,0,2,2,3,9,5,2,85,1,0,0,31,0,8,4,0
"Microtus subterraneus",151,25,0,1,0,215,2,0,12,0,1,1,0,4,4,1,15,0,0,5,52,11,8,3,7
"Microtus tatricus",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0
"Muscardinus avellanarius",0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myoxus glis",0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neomys anomalus",0,0,0,0,0,13,0,0,0,0,0,0,9,0,0,0,5,0,0,50,2,0,0,0,0
"Neomys fodiens",0,0,0,0,0,20,2,1,0,0,1,0,22,4,2,1,2,0,0,87,3,0,0,0,1
"Sicista betulina",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Sorex alpinus",0,0,0,0,0,12,1,0,0,0,0,0,26,1,3,0,0,0,0,35,2,0,2,0,0
"Sorex araneus",0,2,0,0,0,53,16,2,1,0,6,2,280,9,17,1,4,0,9,466,9,0,1,1,0
"Sorex minutus",0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,10,0,0,1,0,0
"Talpa europaea",0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
