"","Salix sieboldiana","Deutzia crenata","Cirsium japonicum","Pieris japonica","Prunus jamasakura","Arisaema japonicum","Cirsium suffultum","Ranunculus japonicus","Polygonum cuspidatum","Benthamidia japonica","Lysimachia clethroides","Rhododendron kiusuanum","Viola grypoceras","Weigela decora","Abelia serrata","Lespedeza bicolor","Ligularia japonica","Geranium shikokianum","Viola orientalis","Astilbe thunbergii","Ixeris dentata","Potentilla freyniana","Sophora flavescens","Echinops setifer","Erigeron annuus","Hydrangea luteo-venosa","Viburnum dilatatum","Weigela japonica","Hydrangea paniculata","Prunella vulgaris","Quercus dentata","Salix vulpina","Hemerocallis vespertina","Lindera sericea","Rubus parvifolius","Spiraea japonica","Allium thunbergii","Castanea crenata","Rhododendron reticulatum","Veratrum maackii","Veronica rotunda","Cephalantera falcata","Chionographis japonica","Clethra barvinervis","Dianthus superbus","Galium verum","Heteropappus hispidus","Hydrangea serrata","Saussurea yanagisawae","Viburnum erosum","Adenophora triphylla","Anaphalis margaritacea","Aster ageratoides","Aster scaber","Epimedium diphyllum","Hydrocotyle ramiflora","Ligularia fischerii","Lyonia ovalifolia","Saussurea gracilis","Solidago virg-aurea","Vicia unijuga","Cimicifuga acerina","Eupatorium chinense","Hypericum pseudopetiolatum","Inula japonica","Iris rossii","Parnassia palustris","Patrinia villosa","Pseudostellaria heterantha","Styrax japonica","Valeriana fauriei","Aconitum japonicum","Aletris luteoviridis","Angelica cartilagino-marginata","Angelica longeradiata","Arabis glabra","Asparagus schoberioides","Codonopsis lanceolata","Corydalis lineariloba","Dioscorea asclepiadea","Erigeron philadelphicus","Galium japonicum","Gentiana zollingeri","Inula salicina","Isodon inflexus","Lilium leichtlinii","Luzula capitata","Moehringia lateriflora","Paederia scandens","Patrinia scabiosaefolia","Polygala japonica","Rubus phoenicolasius","Sanguisorba officinalis","Schizophragma hydrangeoides","Senecio pierotii","Staphylea bumalda","Swertia japonica","Synurus excelsus","Viola hondoensis"
"Sphaerophoria philanthus",0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ceratina japonica ",0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis tenax",0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus diversus",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Apis mellifera",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus ignitus",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sp1 M_PL_053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus ardens",0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Baris dispilota",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sp2 M_PL_053",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
