"","Bombycilla cedrorum","Cardinalis cardinalis","Carpodacus purpureus","Catharus guttata","Colaptes auratus","Dendroica coronata","Euphagus carolinus","Junco hyemalis","Melanerpes carolinensis","Mimus polyglottos","Parus atricapillus","Parus bicolor","Picoides pubescens","Picoides villosus","Pipilo erythophtalmus","Quiscalus quiscula","Sturnus vulgaris","Turdus migratorius","Vireo olivaceus","Zenaidura macroura","Zonotrichia albicollis"
"Celastrus orbiculatus",4,13,0,3,0,0,1,28,0,4,0,3,0,0,0,0,3,3,0,0,32
"Cornus florida",0,2,2,6,1,0,0,51,0,1,0,1,0,0,1,90,0,110,1,0,13
"Lindera benzoin",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,20
"Lonicera japonica",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24
"Rhus radicans",0,0,0,0,1,25,0,10,2,1,16,3,8,3,0,0,0,0,0,0,1
"Smilax rotundifolia",0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27
"Vitis sp1 M_SD_001",0,10,0,0,0,0,0,0,2,0,0,1,0,0,0,72,0,17,0,1,4
