"","Amazilia brevirostris","Amazilia fimbriata","Anthracothorax nigricollis","Eupetomena macroura","Florisuga fusca","Glaucis hirsutus","Hylocharis cyanus","Leucochloris albicollis","Lophornis chalybeus","Phaethornis ruber","Ramphodon naevius","Thalurania glaucopis"
"Abarema brachystachya",0,0,0,0,98,0,0,0,0,0,0,0
"Aechmea distichantha",0,10,0,0,0,0,0,0,0,1,1,3
"Aechmea nudicaulis",66,1,2,0,1,0,4,0,0,0,0,3
"Aechmea pectinata",0,205,0,0,0,0,0,0,0,0,0,65
"Albizia pedicellaris",0,0,0,0,1,0,1,0,0,0,0,0
"Arrabidaea sp1 M_PL_074_08",0,0,13,0,0,0,0,0,0,0,0,0
"Billbergia pyramidalis",0,0,0,0,0,0,0,0,2,0,1,0
"Centropogon cornutus",0,25,0,0,0,38,0,0,0,0,0,0
"Cordia multispicata",0,1,0,0,0,0,1,1,0,0,0,0
"Costus spiralis",0,0,0,0,0,0,0,0,0,0,3,0
"Couepia schottii",1,0,0,0,0,0,0,0,0,0,0,0
"Dombeya wallichii",0,0,0,0,0,0,0,0,0,0,0,4
"Eriotheca pentaphylla",0,1,0,0,0,0,0,0,0,0,0,1
"Erythrina speciosa",0,594,0,0,0,34,4,0,4,0,341,1
"Hedychium coronarium",0,0,0,0,0,0,0,0,0,6,0,0
"Heliconia angusta",0,0,0,0,0,0,0,0,0,0,25,0
"Heliconia spathocircinata",1,0,0,0,0,0,0,0,0,0,0,19
"Hibiscus rosa-sinensis",0,0,1,0,0,0,0,0,1,0,0,0
"Inga edulis",684,70,0,0,1,0,0,0,0,1,0,260
"Inga luschnathiana",807,88,23,0,169,0,1451,7,0,0,0,288
"Jacaranda puberula",0,0,28,0,0,0,0,0,0,0,0,0
"Jacquemontia sphaerostigma",0,1,0,0,0,0,0,0,0,0,0,1
"Lantana nivea",0,0,0,0,0,0,1,1,0,0,0,0
"Lundia cordata",0,29,0,0,0,0,0,0,0,0,0,0
"Maranta furcata",0,0,0,0,0,0,0,0,0,1,0,0
"Marcgravia myriostigma",0,0,0,0,0,0,0,0,0,0,1,1
"Mutisia speciosa",0,70,0,0,3,0,0,0,0,0,0,1
"Nematanthus fluminensis",0,0,0,0,0,0,0,0,0,0,1,0
"Nidularium innocentii",0,0,0,0,0,0,0,0,0,0,6,0
"Nidularium procerum",0,0,0,0,0,0,0,0,0,0,1,0
"Nidularium seidelii",0,0,0,0,0,0,0,0,0,0,2,9
"Psittacanthus dichrous",0,172,0,567,17,0,0,0,0,0,0,22
"Psychotria nuda",0,0,0,0,0,0,0,0,0,5,86,418
"Sabicea grisea",79,0,0,0,0,0,1,0,0,27,0,1
"Schwartzia brasiliensis",295,188,1,0,780,0,0,0,0,0,0,90
"Stachytarpheta sp1 M_PL_074_08",0,0,0,0,0,0,1,0,0,0,0,0
"Syzygium jambos",0,1,0,0,0,0,0,0,0,0,0,0
"Tabebuia cassinoides",0,0,0,0,0,0,0,0,0,0,1,0
"Talipariti tiliaceum",7,4,2,0,36,0,0,0,0,0,0,1
"Vriesea ensiformis",0,0,0,0,0,0,0,0,0,0,6,3
"Vriesea procera",1,39,0,0,0,0,0,0,0,0,0,0
"Vriesea rodigasiana",0,8,0,0,0,0,0,0,0,0,0,0
