"","Vitex cannabifolia","Stenactis annuus","Photinia glabra","Deutzia scabra","Persicaria thunbergii","Rhododendron oomurasalei","Besella rubra","Lythrum anceps","Swida macrophylla","Rosa borboniana","Deutzia crenata","Cayratia japonica","Syringa vulgaris","Baccharis trimera","Itea parviflora","Tilia miqueliana","Lespedeza thunbergii","Pyracantha angustifolia","Taraxacum japonicum","Prunus sp1 M_PL_054","Ligustrum obtusifolium","Rhus sylvestris","Swida stlonifera","Cinnamomum camphora","Ligustrum japonicum","Securinega suffruticosa","Citrus tachibana","Trifolium repens","Justicia procumbens","Veronicastrum sibiricum","Spiraea blumei","Pieris japonica","Aesculus camea","Tilia japonica","Spiraea tossensis","Stewartia monadelpha","Edgeworthia chrysantha","Lonicera morrowii","Oxalis corymbosa","Rhododendron mucronata","Rhus javanica","Viburnum erosum","Abelia grandiflora","Abelia sp1 M_PL_054","Iris pseudacorus","Pyracantha crenulata","Tradescantia ohiensis","Indigofera tinctoria","Spiranthes sinensis","Weigela hortensis","Aster ageratoides","Astragalus sinicus","Cirsium nipponica","Elaeagnus multiflora","Enkianthus perulatus","Mahonia japonica","Malus halliana","Spiraea thunbergii","Hibiscus syriacus","Pollia japonica","Berberis thunbergii","Campsis grandiflora","Liriope platyphylla","Viburnum dilatatum","Wisteria floribunda","Camellia sasanqua","Euonymus fo rtunei","Fatsia japonica","Hydrangea macrophylla","Lyonia ovalifolia","Nandina domestica","Philadelphus coronarius","Spiraea cantoniensis","Buddleia davidii","Cercis siliquastrum","Cladrastis sikokiana","Coreopsis basalis","Deutzia maximowicziana","Forsythia suspensa","Persicaria yokusaiana","Stellaria media","Fraxinus griffithii","Idesia polycarpa","Ilex serrata","Ixeris debilis","Ixeris dentata","Kerria japonica","Prunus tomentosa","Ranunculus silerifolius","Rhododendron macrosepalum","Ulmus davidiana","Vaccinium oldhami","Viburnum suspensum","Aucuba japonica","Callicarpa japonica","Calystegia japonica","Camellia japonica","Cardamine regeliana","Clerodendron trichotomum","Desmodium padocarpum","Deutzia gracilis","Hypericum patulum","Iris japonica","Oxalis corniculata","Paederia scandens","Phlox subulata","Phytolacca americana","Polygonum aubertii","Rorippa indica","Serissa japonica","Torilis japonica","Veronica persica","Viola mandshurica"
"Sphaerophoria macrogaster ",0,19,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0,2,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Unidentified sp1 M_PL_054",18,1,0,0,0,0,0,1,3,1,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nonartha cyaneum ",6,1,0,0,0,0,1,3,0,9,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceratina flavipes ",9,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis cerealis ",0,2,0,0,18,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Formica japonica ",0,0,1,13,0,0,5,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena protomias ",1,0,0,9,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aulacophora nigripennis ",0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus ardens",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vespa xanthoptera ",2,0,0,0,0,0,0,1,1,0,0,9,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
