"","Coereba flaveola ","Columba squamosa ","Euphonia musica ","Icterus dominicensis ","Loxigilla portoricensis ","Margarops fuscatus ","Molothrus bonariensis ","Nesospingus sp1 M_SD_003","Spindalis portoricensis ","Tiaris bicolor ","Todus mexicanus ","Turdus plumbeus ","Tyrannus dominicensis ","Unidentified sp1 M_SD_003","Vireo altiloquous ","Zenaida zenaida "
"Alchornea latifolia ",0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2
"Anthurium scandens ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Byrsonima coriacea ",0,3,0,0,1,0,0,0,1,0,0,0,0,0,2,0
"Casearia arborea ",0,1,0,0,2,0,0,0,0,0,0,0,1,1,1,0
"Cecropia schreberiana ",7,1,1,0,10,2,0,1,12,1,1,3,0,0,1,0
"Clusia rosea ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"Cupania americana ",2,0,0,1,7,0,1,0,0,0,0,1,6,0,3,0
"Dendropanax arboreus ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ficus sp1 M_SD_003",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guarea guidonia ",0,0,0,0,34,1,0,0,0,0,0,0,2,0,6,0
"Henriettea fascicularis ",0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0
"Inga laurina ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Inga vera ",0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
"Miconia affinis ",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Miconia prasina ",2,0,0,0,7,1,0,0,15,0,0,0,0,0,0,0
"Miconia serrulata ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Myrcia sp1 M_SD_003",0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0
"Myrcine coriacea ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Ocotea leucoxylon ",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoradendron sp1 M_SD_003",0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"Psychotria berteroana ",0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
"Schefflera morototoni ",0,3,0,0,0,0,0,0,14,0,0,10,0,0,1,0
"Tournefortia hisutissima ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Unidentified sp2 M_SD_003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Unidentified sp3 M_SD_003",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
