"","Amazilia rutila","Archilochus colubris","Chlorostilbon canivetii","Cynanthus latirostris","Heliomaster constantii"
"Caesalpinia pulcherrima",243,0,0,0,0
"Ceiba aesculifolia",169,0,0,25,107
"Combretum farinosum",687,0,134,230,0
"Cordia seleriana",55,0,130,0,0
"Erythrina lanata",0,0,0,0,5
"Groton suberosus",58,0,0,0,0
"Hamelia versicolor",1056,0,592,324,41
"Ipomoea bracteata",525,12,0,124,34
"Ipomoea quamoclit",2,0,2,1,0
"Ipomoea wolcottiana",46,148,0,281,0
"Justicia mexicana",14,0,0,32,0
"Mirabilis sp1 M_PL_065",0,0,0,627,0
"Nopalea karwinskiana",57,0,0,0,321
"Opuntia excelsa",371,0,2,0,46
"Pithecellobium mangens",0,0,104,0,0
"Psittacanthus calyculatus",39,99,0,0,0
"Tabebuia donnell-smithii",0,0,0,0,3
"Tillandsia bartramii",119,0,0,0,0
"Tillandsia dasyrifolia",85,0,0,0,0
"Tillandsia paucifolia",90,0,0,8,1
"Vitex mollis",52,0,1847,0,0
