"","Apis mellifera","Cratopus aurostriatus","Diptera sp1 M_PL_096","Diptera sp7 M_PL_096","Forcipomyia sp1 M_PL_096","Hemipyrellia germana","Lasioglossum mahense","Lygistorrhina sp1 M_PL_096","Nectarinia dussumieri","Neophyllomyza approximatonervis","Ornidia obesa","Phelsuma sp1 M_PL_096","Rhiparida seychellensis","Scaptodrosophila sp1 M_PL_096","Unidentified sp2 M_PL_096","Unidentified sp3 M_PL_096","Unidentified sp4 M_PL_096","Unidentified sp5 M_PL_096","Unidentified sp6 M_PL_096"
"Dillenia ferruginea",11,0,0,0,0,0,7,0,1,0,1,0,4,0,0,0,1,0,0
"Erythroxylum sechellarum",3,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,8,0,0
"Nephrosperma vanhoutteanum",7,0,0,0,0,0,32,0,0,0,0,1,0,0,0,0,1,0,0
"Northea hornei",0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
"Paragenipa wrightii",3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0
"Phoenicophorium borsigianum",3,1,1,4,25,2,17,3,0,3,0,0,2,6,1,1,2,12,29
"Psychotria pervillei",5,0,0,0,0,0,7,0,2,1,0,0,0,0,0,0,0,0,0
