"","Allograpta sp1 M_PL_072","Anthomyiidae sp1 M_PL_072","Apis mellifera","Astylus quadrilineatus","Augochlora semiramis","Augochlorella ephyra","Bibionidae sp1 M_PL_072","Bombus bellicosus","Bombyliidae sp2 M_PL_072","Camponotus sp1 M_PL_072","Campsomeris bistrimacula","Cantharidae sp1 M_PL_072","Chalcidoidea sp1 M_PL_072","Chauliognathus scriptus","Chauliognathus sp2 M_PL_072","Chilicola sp1 M_PL_072","Chlorion sp1 M_PL_072","Chrysodina sp1 M_PL_072","Chrysomelidae sp1 M_PL_072","Cochliomyia macellaria","Colletes sp2 M_PL_072","Copestylum sp1 M_PL_072","Coreidae sp1 M_PL_072","Corticea immocerina","Culicidae sp1 M_PL_072","Dactylozodes sp1 M_PL_072","Dialictus sp1 M_PL_072","Discodon sp2 M_PL_072","Drosophilidae sp1 M_PL_072","Eristalinus taeniops","Eristalis tenax","Eudesmia australis","Euptoieta claudia hortensia","Formicidae sp1 M_PL_072","Halictillus sp1 M_PL_072","Isodontia sp1 M_PL_072","Lerodea eufala","Lucilia sericata","Microgastrinae sp1 M_PL_072","Mischocyttarus drewseni","Mordellidae sp1 M_PL_072","Neochrysis sp1 M_PL_072","Palpada sp1 M_PL_072","Parachytas sp1 M_PL_072","Phalacridae sp1 M_PL_072","Platycheirus sp1 M_PL_072","Polybia scutellaris","Pompilidae sp1 M_PL_072","Prionyx sp1 M_PL_072","Pyrgus sp1 M_PL_072","Sarcophagidae sp1 M_PL_072","Scelionidae sp1 M_PL_072","Sceliphron asiaticum","Sphex sp1 M_PL_072","Stenodynerus sp1 M_PL_072","Strymon eurytulus","Synanthedom albicalcarata","Syritta sp1 M_PL_072","Syrphidae sp1 M_PL_072","Tabanidae sp1 M_PL_072","Tatochila autodice","Thespieus catochra","Toxomerus sp1 M_PL_072","Trichopoda giacomelli","Vanessa sp1 M_PL_072","Villa sp1 M_PL_072","Xylocopa ciliata"
"Achyrocline satureoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baccharis coridifolia",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Cerastium mollissimum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eryngium stenophyllum",1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"Eupatorium lanigerum",1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0
"Eupatorium tenacetifolium",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gnaphalium cheirantifolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Habranthus andersoni",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Habranthus gracilifolius",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Hypochaeris rosengurtii",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
