"","Apis mellifera","Ceratina tabescens","Chalcidoma disjunctum","Cratopus aurostriatus","Dichaetomyia fasciculifera","Diptera sp1 M_PL_089","Eagris sabadius","Hemipyrellia germana","Hymenoptera sp5 M_PL_089","Lasioglossum mahense","Lygistorrhina sp1 M_PL_089","Mabuya sechellensis","Megachile seychellensis","Nectarinia dussumieri","Neophyllomyza approximatonervis","Ornidia obesa","Phelsuma sp1 M_PL_089","Polistes olivaceus","Rhiparida seychellensis","Rhynchium brunneum","Unidentified sp2 M_PL_089","Unidentified sp3 M_PL_089","Unidentified sp4 M_PL_089","Unidentified sp6 M_PL_089"
"Canthium bibracteatum",9,5,0,0,0,0,0,1,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"Deckenia nobilis",24,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Dillenia ferruginea",5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Diospyros seychellarum",27,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,2,2,0,0,0,0
"Erythroxylum sechellarum",3,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Memecylon eleagni",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nephrosperma vanhoutteanum",33,0,0,0,0,0,0,0,0,34,4,0,3,0,2,0,0,0,9,0,13,1,2,0
"Phoenicophorium borsigianum",12,0,0,1,2,0,0,1,0,14,0,0,0,0,0,0,0,0,2,0,0,0,5,0
"Premna serratifolia",10,0,0,0,0,0,0,3,0,7,0,0,2,0,1,0,0,0,0,9,0,0,0,0
"Psychotria pervillei",9,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1
"Syzygium wrightii",3,0,0,0,0,0,1,1,0,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0
