"X","Amalaraeus.dissimilis","Catallagia.dacenkoi","Catallagia.ioffi","Ceratophyllus.indages","Corrodopsylla.birulai","Ctenophthalmus.congeneroides","Ctenophthalmus.pisticus","Hystrichopsylla.microti","Megabothris.advenarius","Megabothris.asio","Neopsylla.acanthina","Pectinoctenus.pectiniceps","Rhadinopsylla.pseudodahurica"
"Apodemus peninsulae",1,1,2,1,1,2,25,0,36,1,94,75,0
"Clethrionomys rufocanus",363,15,103,14,6,4,6,74,920,70,224,442,5
"Clethrionomys rutilus",137,4,45,5,9,8,20,29,488,13,60,178,6
"Microtus evoronensis",6,0,0,0,1,0,1,2,5,12,0,10,0
"Myopus schisticolor",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sciurus vulgaris",0,0,0,1,0,0,0,0,0,0,0,0,0
"Tamias sibiricus",0,0,0,21,0,2,7,0,1,0,21,0,0
