"","Amblypsilopus sp1 M_PL_092","Apis mellifera","Cratopus aurostriatus","Diptera sp1 M_PL_092","Eristalinus vicarians","Hymenoptera sp4 M_PL_092","Lasioglossum mahense","Lygistorrhina sp1 M_PL_092","Unidentified sp2 M_PL_092","Unidentified sp3 M_PL_092"
"Cinnamomum verum",0,0,0,0,0,8,0,0,0,0
"Dillenia ferruginea",0,2,0,0,0,0,0,0,0,0
"Erythroxylum sechellarum",0,0,0,4,0,2,8,1,0,0
"Memecylon eleagni",0,3,1,0,1,0,2,0,0,1
"Roscheria melanochaetes",0,0,0,2,0,0,0,0,0,0
"Soulamea terminaloides",1,0,0,0,0,0,0,1,1,0
