"","Alethe poliocephala","Andropadus ansorgei","Andropadus curvirostris","Andropadus gracilirostris","Andropadus latirostris","Andropadus masukuensis","Andropadus virens","Anthoscopus caroli","Apalis rufogularis","Baeopogon indicator","Bathmocercus rufus","Bleda syndactylus","Buccanodon duchaillui","Campephaga flava","Centropus monachus","Ceratogymna subcylindrica","Cercopithecus ascanius","Cercopithecus mitis","Chalcomitra amethystina","Chalcomitra senegalensis","Chlorocichla flavicollis","Chlorocichla laetissima","Cinnyricinclus leucogaster","Colius striatus","Colobus guereza","Columba larvata","Cossypha heuglini","Cossypha niveicapilla","Cossypha polioptera","Cuculus clamosus","Cyanomitra olivacea","Cyanomitra verticalis","Dicrurus adsimilis","Elminia longicauda","Eremomela turneri","Estrilda nonnula","Gymnobucco bonapartei","Heliosciurus rufobrachium","Hippolais pallida","Hylia prasina","Laniarius luehderi","Lybius bidentatus","Malimbus rubricollis","Melaniparus albiventris","Melaniparus funereus","Musophaga rossae","Nigrita canicapillus","Nigrita fusconotus","Oriolus auratus","Oriolus brachyrhynchus","Papio anubis","Phoenicurus phoenicurus","Phyllastrephus cabanisi","Phyllastrephus hypochloris","Phylloscopus budongoensis","Phylloscopus sibilatrix","Phylloscopus trochilus","Platysteira castanea","Platysteira cyanea","Ploceus baglafecht","Ploceus bicolor","Ploceus insignis","Ploceus melanocephalus","Ploceus nigerrimus","Ploceus nigricollis","Ploceus ocularis","Pogoniulus bilineatus","Prinia bairdii","Prodotiscus insignis","Pycnonotus barbatus","Schistolais leucopogon","Serinus citrinelloides","Serinus dorsostriatus","Serinus mozambicus","Spermophaga ruficapilla","Sylvia atricapilla","Sylvia borin","Sylvia communis","Terpsiphone viridis","Tockus alboterminatus","Trachyphonus purpuratus","Treron calvus","Tricholaema hirsuta","Turdoides sharpei","Turdus olivaceus","Turdus pelios","Turtur tympanistria","Zosterops senegalensis"
"Dracaena fragrans",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Ficus exasperata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,34,1,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,9,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,3
"Ficus sur",0,0,7,0,9,1,0,0,0,0,0,0,10,0,0,2,52,28,0,0,0,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,2,0,3,0,0,0,5,0,0,0,2,0,6,0,0,30,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,1,0,6
"Harungana madagascariensis",0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,1,3
"Jasminum fluminense",0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Lantana camara",0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4
"Maesa lanceolata",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Manilkara butugi",0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,12,29,36,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3
"Morus mesozygia",0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,2,46,27,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0
"Peponium vogelii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piper guineense",0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Pittosporum viridiflorum",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Polyscias fulva",2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1,0,0,0,0,2,0,0,42,0,0,0,0,0,16,1,0,0,0,0,0,1,0,0,0,0,6
"Prunus africana",0,1,3,3,0,0,2,0,7,1,0,0,0,0,0,0,0,2,0,0,0,1,190,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,82,0,0,0,0,0,0,0,0,0,1,0,0,70,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,15,0,0
"Psychotria peduncularis",3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhamnus prinoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2
"Rubus niveus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solanum mauritianum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,1,0,0,0,0,0,0,0,0,0,5
"Toddalia asiatica",0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0
"Trilepisium madagascariense",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,22,67,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_SD_034",0,3,6,3,21,28,7,0,3,1,0,1,26,0,0,24,11,19,0,0,0,15,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,3,2,0,0,1,1,0,2,0,10,3,0,30,0,0,1,3,2,0,0,0,0,9,1,1,128,0,14,2,0,0,64,1,0,0,0,6,2,2,0,1,94,1,69
"Unidentified sp2 M_SD_034",0,0,5,6,33,1,0,1,2,4,0,0,59,0,0,61,19,35,0,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,19,3,5,0,0,0,0,0,9,0,0,0,0,0,9,0,0,4,1,0,39,0,0,0,1,0,3,0,0,0,3,0,0,110,0,0,0,0,0,23,0,0,0,0,5,0,3,0,6,11,0,1
