"X","Amalaraeus.penicilliger","Amphipsylla.dumalis","Amphipsylla.primaris","Citellophilus.tesquorum","Ctenophyllus.hirticrus","Frontopsylla.elata","Frontopsylla.elatoides","Frontopsylla.hetera","Frontopsylla.luculenta","Neopsylla.mana","Neopsylla.pleskei","Ophthalmopsylla.praefecta","Oropsylla.alaskensis","Oropsylla.silantiewi","Paradoxopsyllus.scorodumovi","Paramonopsyllus.scalonae","Pectinoctenus.pavlovskii","Rhadinopsylla.dahurica","Rhadinopsylla.li","Rhadinopsylla.rothschildi"
"Allactaga sibirica",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Alticola argentatus",0,0,2,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
"Ellobius tancrei",0,150,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Lasiopodomys brandtii",460,0,7194,73,0,0,0,911,2,4514,441,0,9,10,0,0,4,954,76,117
"Marmota sibirica",0,0,0,12,6,0,0,7,0,10,0,0,0,1437,2,0,0,0,0,0
"Phodopus sungorus",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus undulatus",0,0,7,1384,7,4,83,49,0,38,4,0,266,18,27,5,0,0,279,0
