,StAndrewsLodge,LoyalNine,NorthCaucus,LongRoomClub,TeaParty,BostonCommittee,LondonEnemies
Lambert_John,0,0,0,1,0,0,0
Lee_Joseph,0,0,0,0,1,0,0
Lewis_Phillip,1,0,0,0,0,0,0
Lincoln_Amos,0,0,0,0,1,0,0
Loring_Matthew,0,0,0,0,1,0,0
Lowell_John,0,0,1,0,0,0,0
Machin_Thomas,0,0,0,0,1,0,0
Mackay_William,0,0,0,0,0,1,0
MacKintosh_Capt,0,0,0,0,1,0,0
MacNeil_Archibald,0,0,0,0,1,0,0
Marett_Phillip,1,0,0,0,0,0,0
Marlton_John,1,0,0,0,0,0,0
Marshall_Thomas,0,0,0,0,0,0,1
Marson_John,0,0,0,0,0,0,1
Mason_Jonathan,0,0,0,0,0,0,1
Matchett_John,0,0,1,0,0,0,0
May_John,0,0,0,0,1,0,0
McAlpine_William,1,0,0,0,0,0,0
Melville_Thomas,0,0,0,0,1,0,0
Merrit_John,0,0,1,0,0,0,0
Milliken_Thomas,1,0,0,0,0,0,0
Molineux_William,0,0,1,0,1,1,0
Moody_Samuel,1,0,0,0,0,0,0
Moore_Thomas,0,0,0,0,1,0,0
Morse_Anthony,0,0,0,0,1,0,0
Morton_Perez,0,0,1,0,0,0,0
Mountford_Joseph,0,0,0,0,1,0,0
Newell_Eliphelet,0,0,0,0,1,0,0
Nicholls_Unknown,1,0,0,0,0,0,0
Noyces_Nat,0,0,0,0,0,0,1
Obear_Israel,1,0,0,0,0,0,0
Otis_James,0,0,0,1,0,1,0
Palfrey_William,1,0,0,0,0,0,0
Palmer_Joseph,0,0,0,0,1,0,0
Palms_Richard,0,0,1,0,0,0,0
Parker_Jonathan,0,0,0,0,1,0,0
Parkman_Elias,0,0,1,0,0,0,1
Partridge_Sam,0,0,0,0,0,0,1
Payson_Joseph,0,0,0,0,1,0,0
Pearce_IsaacJun,0,0,1,0,0,0,0
Pearce_Isaac,0,0,1,0,0,0,0
Peck_Samuel,1,0,0,0,1,0,0
