"","Adelomyia melanogenys","Aglaiocercus coelestis","Amazilia franciae","Amazilia tzacatl","Boissonneaua flavescens","Boissonneaua jardini","Calliphlox mitchellii","Coeligena wilsoni","Colibri coruscans","Colibri cyanotus","Colibri delphinae","Doryfera ludovicae","Florisuga mellivora","Heliodoxa imperatrix","Heliodoxa rubinoides","Ocreatus underwoodii","Phaethornis syrmatophorus","Thalurania colombica","Urosticte benjamini"
"Abutilon darwinii",0,2,1,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Alloplectus sp1 M_PL_074_01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Besleria solanoides",0,10,0,1,0,0,1,2,0,0,0,0,0,0,0,33,0,0,1
"Bomarea pardina",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"Bougainvillea sp1 M_PL_074_01",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Brugmansia arborea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Burmeistera cyclostigmata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Burmeistera sp1 M_PL_074_01",0,19,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"Canna sp1 M_PL_074_01",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cavendishia grandifolia",0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
"Cavendishia tarapotana",0,0,0,21,0,4,0,43,0,0,6,15,0,0,0,7,16,0,8
"Centropogon sp3 M_PL_074_01",0,4,0,1,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0
"Cestrum sp1 M_PL_074_01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Clusia sp4 M_PL_074_01",0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0
"Columnea ciliata",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea medicinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"Columnea strigosa",0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Ericaceae sp1 M_PL_074_01",0,1,0,5,0,2,0,15,0,0,0,1,0,0,0,1,0,0,0
"Erythrina sp1 M_PL_074_01",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fuchsia macrostigma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Furcraea sp1 M_PL_074_01",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gasteranthus sp1 M_PL_074_01",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0
"Gesneriaceae sp1 M_PL_074_01",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0
"Gesneriaceae sp2 M_PL_074_01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Gesneriaceae sp3 M_PL_074_01",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Glossoloma bolivianum",0,0,8,33,0,0,0,30,0,0,0,0,0,0,10,2,7,0,4
"Guzmania danielii",0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0
"Guzmania jaramilloi",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0
"Guzmania sp1 M_PL_074_01",0,0,2,7,0,0,0,25,0,0,0,0,0,0,0,1,9,0,0
"Guzmania sp2 M_PL_074_01",0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
"Guzmania teuscheri",0,11,0,2,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
"Heliconia burleana",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Heliconia sp2 M_PL_074_01",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hibiscus rosa-sinensis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Impatiens sp1 M_PL_074_01",0,0,0,15,0,1,1,4,1,0,0,0,0,2,2,18,1,0,0
"Inga sp2 M_PL_074_01",1,141,45,172,1,42,25,16,16,2,250,0,1,3,30,145,0,3,18
"Iridaceae sp1 M_PL_074_01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
