"","Actea sp1 M_PL_013","Apis mellifera","Arge sp1 M_PL_013","Aspilocoryphus fasciativentris","Atrichelaphinis tigrina","Coleoptera sp17 M_PL_013","Coleoptera sp18 M_PL_013","Coleoptera sp19 M_PL_013","Coreidae sp21 M_PL_013","Cyrtothyrea marginalis","Dacus sp1 M_PL_013","Diptera sp1 M_PL_013","Diptera sp2 M_PL_013","Diptera sp3 M_PL_013","Hemipepsis hilaris","Heteroptera sp23 M_PL_013","Homoecerus annulatus","Hymenoptera sp4 M_PL_013","Hymenoptera sp5 M_PL_013","Hymenoptera sp6 M_PL_013","Lepidoptera sp37 M_PL_013","Lepidoptera sp38 M_PL_013","Microphthalma sp1 M_PL_013","Microphthalma sp2 M_PL_013","Musca domestica","Sarcophaga sp1 M_PL_013","Spilostethus rivularis","Tiphia sp1 M_PL_013","Unidentified sp1 M_PL_013","Unidentified sp10 M_PL_013","Unidentified sp11 M_PL_013","Unidentified sp12 M_PL_013","Unidentified sp13 M_PL_013","Unidentified sp14 M_PL_013","Unidentified sp15 M_PL_013","Unidentified sp16 M_PL_013","Unidentified sp2 M_PL_013","Unidentified sp20 M_PL_013","Unidentified sp22 M_PL_013","Unidentified sp24 M_PL_013","Unidentified sp25 M_PL_013","Unidentified sp26 M_PL_013","Unidentified sp27 M_PL_013","Unidentified sp28 M_PL_013","Unidentified sp29 M_PL_013","Unidentified sp3 M_PL_013","Unidentified sp30 M_PL_013","Unidentified sp31 M_PL_013","Unidentified sp32 M_PL_013","Unidentified sp33 M_PL_013","Unidentified sp34 M_PL_013","Unidentified sp35 M_PL_013","Unidentified sp36 M_PL_013","Unidentified sp7 M_PL_013","Unidentified sp8 M_PL_013","Unidentified sp9 M_PL_013"
"Asclepias cucullata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"Asclepias woodii",0,0,0,0,15,0,0,0,0,8,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aspidonepsis diploglossa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Miraglossum pilosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miraglossum verticillare",0,0,0,1,1,0,0,0,0,1,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Pachycarpus natalensis",0,0,0,4,0,0,0,0,0,0,1,0,1,1,20,0,1,0,0,9,0,0,1,0,0,11,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Sisyranthus trichostomus",0,1,1,1,35,0,1,0,0,42,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xysmalobium gerrardii",1,3,0,139,15,2,0,4,1,6,0,0,0,15,41,1,0,1,1,0,0,0,0,1,3,53,0,0,1,0,1,3,3,1,4,0,0,8,1,1,6,1,0,0,1,0,1,1,1,3,0,0,1,2,2,0
"Xysmalobium involucratum",0,0,0,1,6,0,0,4,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4
