"X","Amphipsylla.kuznetzovi","Amphipsylla.rossica","Callopsylla.caspia","Citellophilus.tesquorum","Ctenophthalmus.acuminatus","Ctenophthalmus.chionomydis","Ctenophthalmus.golovi","Ctenophthalmus.orientalis","Ctenophthalmus.proximus","Ctenophthalmus.secundus","Ctenophthalmus.wagneri","Hystrichopsylla.talpae","Leptopsylla.taschenbergi","Megabothris.turbidus","Megabothris.walkeri","Nosopsyllus.consimilis","Nosopsyllus.mokrzeckyi","Paradoxopsyllus.hesperius","Rhadinopsylla.ucrainica"
"Apodemus agrarius",0,0,0,0,0,0,0,7,66,2,10,0,42,0,0,39,71,0,0
"Apodemus sylvaticus",0,6,0,2,2,0,0,20,58,12,13,0,105,2,3,86,74,0,2
"Arvicola terrestris",0,340,0,0,0,0,8,6,10,0,115,3,8,20,0,9,0,0,2
"Chionomys gud",6,10,6,0,0,12,11,2,0,0,10,0,8,0,0,3,4,10,3
"Cricetulus migratorius",0,0,0,0,0,0,0,24,0,2,7,0,0,0,0,32,2,8,0
"Cricetus cricetus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"Mesocricetus raddei",0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Microtus arvalis",0,4,0,0,0,0,0,6,0,0,30,2,0,6,3,49,0,0,0
"Microtus majori",0,12,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0
"Microtus socialis",0,0,0,0,0,0,0,11,0,4,2,0,0,0,0,22,0,0,0
"Spermophilus pygmaeus",0,0,0,74,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
