"","Crataegus monogyna","Prunus mahaleb","Berberis vulgaris","Juniperus phoenicea","Lonicera arborea","Rosa canina","Taxus baccata","Hedera helix","Juniperus communis","Juniperus sabina","Sorbus aria","Daphne laureola","Amelanchier ovalis","Rhamnus myrtifolius","Rhamnus saxatilis","Lonicera splendida","Juniperus oxycedrus","Paeonia officinalis"
"Turdus merula",1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1
"Turdus viscivorus",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0
"Turdus iliacus",1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0
"Turdus torquatus",1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"Phoenicurus ochruros",0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0
"Erithacus rubecula",1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
"Fringilla coelebs",1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
"Parus ater",1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
"Sylvia atricapilla",1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"Coccothraustes coccothraustes",1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Columba palumbus",1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Corvus corone",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Parus major",1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Turdus pilaris",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Garrulus glandarius",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parus caeruleus",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoenicurus phoenicurus",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Sitta europaea",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Emberiza cia",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Loxia curvirostra",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Parus cristatus",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pica pica",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turdus philomelos",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Corvus corax",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendrocopos major",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficedula hypoleuca",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sylvia borin",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sylvia cantillans",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
