"X","Amalaraeus.penicilliger","Amphipsylla.anceps","Amphipsylla.montana","Amphipsylla.phaiomydis","Amphipsylla.primaris","Callopsylla.caspia","Citellophilus.lebedewi","Frontopsylla.elata","Frontopsylla.protera","Leptopsylla.nana","Neopsylla.meridiana","Neopsylla.pleskei","Neopsylla.teratura","Oropsylla.silantiewi","Paradoxopsyllus.naryni","Paraneopsylla.ioffi","Pectinoctenus.pamirensis","Rhadinopsylla.dahurica","Rhadinopsylla.li"
"Alticola argentatus",2,6,13,7,0,46,0,0,0,21,0,3,0,0,0,2,0,0,6
"Cricetulus migratorius",8,194,70,0,60,88,0,0,2,17,105,25,5,0,3,17,9,4,4
"Marmota caudata",0,6,0,0,0,7,26948,0,0,0,0,0,0,87811,0,2,0,0,116
"Microtus juldaschi",81,20,2,15,28,18,0,4,2,5,19,0,0,10,0,0,0,6,2
