"","Apis mellifera","Dichaetomyia fasciculifera","Hemipyrellia germana","Hemipyrellia sp1 M_PL_109","Hymenoptera sp1 M_PL_109","Lasioglossum mahense","Lygistorrhina sp1 M_PL_109","Ornidia obesa","Pachycerina seychellensis","Parasarcophaga hirticeps","Plagiostenopterina cyanosoma","Simosyrphus aegyptius","Xylocopa caffra"
"Canthium bibracteatum",9,0,4,0,0,18,0,2,0,0,0,0,0
"Cinnamomum verum",0,0,0,1,0,13,0,1,0,1,2,0,0
"Erythroxylum sechellarum",3,0,0,0,0,13,2,0,1,0,0,0,0
"Memecylon eleagni",2,0,0,0,0,0,0,0,0,0,0,1,0
"Ochna kirkii",0,0,0,0,0,0,0,0,0,0,0,0,5
"Premna serratifolia",0,2,1,1,6,4,0,4,2,3,0,0,0
"Psidium cattleianum",20,0,0,0,0,0,0,3,0,5,0,0,1
