"","Amazilia fimbriata","Amazilia lactea","Calliphlox amethystina","Chlorostilbon aureoventris","Phaethornis pretrei","Phaethornis ruber","Phaethornis squalidus","Thalurania glucopis"
"Corymborkis flava",0,0,0,2,0,0,6,0
"Fridericia speciosa",0,0,4,2,0,0,3,0
"Geissomeria schottiana",1,0,0,0,1,3,14,35
"Heliconia simulans",0,0,0,0,0,5,1,2
"Hyptis asperrima",0,0,1,1,0,0,0,0
"Justicia scheidweileri",0,0,0,0,0,12,4,17
"Lantana camara",0,0,0,0,0,2,3,0
"Mendoncia velloziana",0,1,0,0,0,1,0,8
"Mutisia speciosa",0,0,0,0,0,7,0,0
"Passiflora kermesina",0,0,0,0,0,4,0,0
"Passiflora speciosa",0,0,0,0,0,0,11,0
"Rubus rosaefolius",0,0,0,0,0,4,1,0
"Ruellia brevifolia",0,0,0,0,1,7,12,0
"Ruellia subsessilis",0,0,0,0,0,2,0,0
