"","Abundance","Agapostemon virescens","Andrena banksi","Andrena confederata","Andrena hilaris","Andrena imitatrix","Andrena perplexa","Andrena spiraeana","Andrena vicina","Anthophora abrupta","Apis mellifera","Augochlora pura","Augochlorella aurata","Augochloropsis metallica","Bombus auricomus","Bombus bimaculatus","Bombus griseocollis","Bombus impatiens","Bombus perplexus","Ceratina calcarata","Ceratina sp1 M_PL_073","Ceratina strenua","Coelioxys sayi","Colletes thoracicus","Halictus confusus","Hylaeus sp1 M_PL_073","Lasioglossum birkmani","Lasioglossum cressonii","Lasioglossum ephialtum","Lasioglossum fuscipenne","Lasioglossum hitchensi","Lasioglossum imitatum","Lasioglossum macoupinens","Lasioglossum oblongum","Lasioglossum obscurum","Lasioglossum quebecense","Lasioglossum sp1 M_PL_073","Lasioglossum subviridatum","Lasioglossum tegulare","Lasioglossum weemsi","Megachile mendica","Melissodes bimaculata","Ptilothrix bombiformus"
Abundance","#",1,1,2,1,1,3,1,2,1,8,205,57,11,1,16,65,110,8,113,9,4,5,5,2,12,8,4,1,3,1,9,4,1,13,1,5,1,3,2,13,1,26
"Apocynum cannabinum",10,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Asclepias syriaca",58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,52,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Calystegia sepium",4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Campsis radicans",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cephalanthus occidentalis",79,0,0,0,0,0,0,1,0,0,4,5,0,0,1,11,7,13,7,13,0,0,0,0,1,3,0,0,0,0,0,7,0,0,1,0,0,0,0,1,1,0,3
"Commelina erecta",4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conium maculatum",30,0,1,2,1,1,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,9,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"Erysimum cheiranthoides",7,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Eupatorium coelestinum",12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Eupatorium purpureum",21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0
"Helianthus decapetalus",9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Hibiscus laevis",43,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,22
"Hypericum prolificum",45,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,34,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lapsana communis",17,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"Lindernia dubia",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0
"Lycopus rubellus",8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Lysimachia nummularia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxalis stricta",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"Polygonum amphibium",10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polymnia uvedalia",60,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
