"","Acopsis viridicans","Allograpta nasuta","Allograpta sp1 M_PL_061","Apis mellifera","Atherigona sp1 M_PL_061","Brachymyrmex sp1 M_PL_061","Chaetocnema sp1 M_PL_061","Chrysomya megacephala ","Dasytinae sp1 M_PL_061","Dysauxes florida","Episyrphus sp1 M_PL_061","Eristalinus flaveolus","Fannia pusio ","Henotesia narcissus","Homoneura sp1 M_PL_061","Leptotes pirithous","Lygistorrhina sp1 M_PL_061","Melanagromyza sojae ","Melanostoma annulipes","Musca domestica","Nacoleia sp1 M_PL_061","Nacoleia sp2 M_PL_061","Orthellia albigena ","Pachycerina crinicornis ","Paragus borbonicus","Pelecophora intemipta","Phorinia sp1 M_PL_061","Polistes hebraeus","Psilopa iceryae ","Sapromyza sp1 M_PL_061","Sarcophaga arno ","Sepsis lateralis ","Stomorhina lunata","Stomoxys calcitrans","Stomoxys niger","Technomyrmex albipes ","Unidentified sp1 M_PL_061","Zosterops mauritianus"
"Antirhea borbonica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",0,1,4,45,0,0,0,2,0,0,1,4,1,1,1,1,0,0,10,0,1,0,0,1,0,1,2,0,0,0,0,0,15,3,1,4,0,2
"Claoxylon linostachys",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Croton fothergillifolius",0,0,0,1,0,0,6,5,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,0,0
"Dodonaea viscosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythroxylum macrocarpum",0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"Geniostoma borbonicum",0,2,0,4,0,0,0,7,0,0,0,0,2,1,0,0,0,0,10,4,0,1,1,10,0,0,0,0,0,1,1,0,25,4,13,0,0,0
"Molinaea alternifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psiadia terebinthina",1,0,0,3,0,0,0,1,0,0,0,3,1,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,1,0
"Roussea simplex ",0,7,0,6,0,4,0,0,0,0,0,0,1,14,0,0,2,0,0,1,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,3
"Sideroxylon cinereum",0,0,0,38,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,1,0,7,0,3,0,0,4
"Toddalia asiatica",0,0,0,0,0,0,1,13,0,0,0,1,7,1,0,3,0,2,5,2,0,0,0,27,0,0,9,0,8,0,0,1,60,0,0,1,0,0
