"X","Ceratophyllus.anisus","Ctenophthalmus.congeneroides","Hystrichopsylla.microti","Megabothris.calcarifer","Neopsylla.bidentatiformis","Nosopsyllus.fasciatus","Peromyscopsylla.ostsibirica","Rhadinopsylla.insolita","Stenoponia.sidimi"
"Apodemus agrarius",12,210,2,426,153,18,3,2,21
"Apodemus peninsulae",0,3,0,2,2,2,0,0,0
"Crocidura suaveolens",0,0,0,2,0,0,0,0,0
"Microtus fortis",0,54,0,157,18,0,0,2,0
"Tamias sibiricus",0,0,0,2,0,0,0,0,0
