"","Amazilia fibriata","Amazilia tovasi","Anthidiellum sp1 M_PL_030","Apis mellifera","Athidium sp1 M_PL_030","Augochlora sp1 M_PL_030","Augochlora sp2 M_PL_030","Augochlorensis callichroa","Augochloropsis sp1 M_PL_030","Auhochloropsis vesta","Campsomeris dorsata","Ceratina sp1 M_PL_030","Cerceris sp1 M_PL_030","Chrysagria duodecimpuntata","Cogia calchas","Cyclocephala gravis","Dialictus sp1 M_PL_030","Dialictus sp2 M_PL_030","Euglossa cordata","Euhibus sp1 M_PL_030","Eulaema nigrita","Eumenes sp1 M_PL_030","Eurema nise","Exomalopsis sp1 M_PL_030","Extemnius sp1 M_PL_030","Helicobia morionella","Heliopetes arsalte","Junonia evarete ","Megachile sp1 M_PL_030","Melipona favosa","Omicrom ruficolle","Ornidia obesa","Oxyssarcodexia peltata","Pachodunerus brevithorax","Palpada pusio","Parancistrocerus sp1 M_PL_030","Pepsis sp1 M_PL_030","Pereirapis sp1 M_PL_030","Phaenica sp1 M_PL_030","Polistes subsericeus","Polybia ignobilis","Polybia occidentalis","Pompeius amblyspoila","Pyrgus oileus orcus","Sarcophagula occidua","Sphex melanopus","Tabanus sp1 M_PL_030","Toxomerus floralis","Toxomerus marginatus","Trigona angustula","Urbanus dorantes dorantes","Urbanus simplicius","Xylocopa fibriata"
"Aeschynomene pratensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Besmoscelis villosa",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caperonia pallustris",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Clidemia capitellata",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croton hirtus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuphea o'donellii",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Desmodium barbatum",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diodia multiflora",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Heliconia psittacorum",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hyptis conferta",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
