"","Amazilia brevirostris","Amazilia tobaci","Anthracothorax nigricollis","Chlorestes notata","Chrysolampis mosquitus","Florisuga mellivora","Glaucis hirsutus","Phaethornis guy","Phaethornis longuemareus"
"Abarema jupunba",1,0,0,1,1,0,0,0,0
"Aechmea aquilega",1,4,0,0,0,0,8,3,1
"Aechmea dichlamydea",0,5,0,0,0,0,2,0,0
"Aechmea fendleri",0,2,0,0,0,0,2,0,0
"Aechmea nudicaulis",1,4,0,0,0,0,0,0,2
"Aegiphila perplexa",0,1,1,0,0,0,0,0,0
"Albizia saman",17,37,1,22,11,1,0,0,0
"Billbergia pyramidalis",0,1,0,0,0,0,0,0,1
"Brownea coccinea capitella",0,0,0,0,0,0,3,6,1
"Calliandra guildingii",16,18,3,23,0,0,1,1,2
"Centropogon cornutus",0,0,0,0,0,0,38,14,3
"Chelonanthus alatus",0,2,0,5,0,0,0,0,2
"Citrus sp1 M_PL_074_04",0,8,1,0,1,0,0,0,0
"Clathrotropis brachypetala",1,3,0,0,0,0,0,0,0
"Cordia bicolor",1,2,0,0,9,0,0,0,0
"Cordia curassavica",0,0,0,1,2,0,0,0,4
"Costus sp1 M_PL_074_04",0,0,0,0,0,0,0,0,2
"Costus spiralis",0,1,0,1,0,0,17,15,34
"Cuspidaria inaequalis",1,1,0,0,0,0,0,0,0
"Dolichandra unguis-cati",0,2,0,1,0,1,0,0,2
"Erythrina corallodendron",0,0,0,0,0,0,3,1,0
"Erythrina fusca",1,0,1,0,1,0,0,0,0
"Erythrina poeppigiana",36,19,20,8,0,7,0,0,0
"Gonzalagunia hirsuta",0,5,0,1,0,0,0,0,5
"Gurania lobata",1,15,0,7,1,0,0,0,1
"Guzmania monostachia",0,1,0,0,0,0,0,2,2
"Hamelia patens",0,3,0,0,0,0,0,0,3
"Heliconia bihai",3,2,0,6,0,0,120,107,16
"Heliconia hirsuta",1,0,0,0,0,0,5,17,11
"Heliconia psittacorum",0,0,0,0,0,0,0,0,6
"Heliconia sp6 M_PL_074_04",0,0,0,0,0,0,0,2,0
"Inga ingoides",3,2,0,0,2,1,0,0,0
"Inga sp3 M_PL_074_04",0,5,0,0,1,0,0,0,2
"Inga venosa",3,2,1,2,0,0,1,0,0
"Ischnosiphon arouma",0,0,0,0,0,0,0,0,2
"Isertia parviflora",1,27,1,1,12,0,1,0,8
"Justicia sp3 M_PL_074_04",6,6,0,1,0,0,1,0,23
"Lantana camara",0,0,0,3,0,0,0,0,0
"Mandevilla hirsuta",0,0,0,0,0,1,1,8,4
"Marcgravia sp1 M_PL_074_04",0,2,0,0,0,0,0,1,0
"Norantea guianensis",3,3,5,2,0,18,1,0,0
"Pachystachys coccinea",12,28,1,0,0,0,28,40,47
"Palicourea crocea",8,17,0,9,0,0,1,1,61
"Psychotria mapourioides",0,0,0,0,0,0,0,1,2
"Psychotria muscosa",0,0,0,7,0,0,1,1,17
"Psychotria sp1 M_PL_074_04",2,4,0,5,0,0,0,0,1
"Renealmia sp1 M_PL_074_04",0,0,0,0,0,0,0,1,1
"Ryania speciosa",0,9,1,16,0,0,0,2,0
"Symphonia globulifera",8,4,3,4,0,5,0,0,0
"Syzygium jambos",2,2,0,0,0,0,0,0,0
"Tabebuia stenocalyx",0,0,0,0,1,0,0,0,2
"Tabernaemontana cymosa",0,0,0,4,0,0,0,1,1
"Tillandsia fasciculata",0,0,0,0,0,0,0,40,0
"Tillandsia utriculata",0,0,0,0,0,0,0,1,1
"Vitex divaricata",0,0,0,1,5,0,0,0,0
"Vriesea procera",0,0,0,0,0,0,0,0,3
"Warszewiczia coccinea",1,11,0,5,1,0,0,0,0
