"","Apis mellifera","Diptera sp1 M_PL_111","Diptera sp3 M_PL_111","Hemipyrellia germana","Hemipyrellia sp1 M_PL_111","Lasioglossum mahense","Leptotes pirithous","Lygistorrhina sp1 M_PL_111","Megachile seychellensis","Nectarinia dussumieri","Neophyllomyza approximatonervis","Ornidia obesa","Parasarcophaga hirticeps","Phelsuma sp1 M_PL_111","Physiphoa azurea ","Polistes olivaceus","Unidentified sp2 M_PL_111","Unidentified sp4 M_PL_111","Xylocopa caffra"
"Canthium bibracteatum",52,0,0,9,0,17,0,0,0,0,0,1,0,0,6,0,0,0,0
"Memecylon eleagni",2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nephrosperma vanhoutteanum",16,4,1,0,0,31,1,3,7,0,4,1,0,3,0,1,10,1,0
"Ochna kirkii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Paragenipa wrightii",3,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0
"Paraserianthes falcataria",10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Premna serratifolia",0,0,0,5,2,21,0,1,1,0,0,0,2,0,0,0,0,0,0
"Psidium cattleianum",19,0,0,14,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1
