"X","Amalaraeus.ioffi","Amalaraeus.penicilliger","Amphipsylla.marikovskii","Catallagia.dacenkoi","Catallagia.ioffi","Catallagia.striata","Ceratophyllus.anisus","Ceratophyllus.indages","Ctenophthalmus.congeneroides","Ctenophthalmus.pisticus","Ctenophyllus.armatus","Frontopsylla.elata","Hystrichopsylla.microti","Megabothris.advenarius","Megabothris.bispinosa","Neopsylla.acanthina","Nosopsyllus.fasciatus","Peromyscopsylla.silvatica","Rhadinopsylla.integella","Stenoponia.montana","Tarsopsylla.octodecimdentata"
"Apodemus peninsulae",0,0,0,0,0,0,0,0,4,6,0,2,3,19,0,9,0,27,0,0,0
"Clethrionomys rufocanus",35,22,156,89,38,25,0,4,0,0,0,3,30,155,2,16,0,34,9,5,0
"Clethrionomys rutilus",180,156,330,249,275,156,3,7,5,4,7,0,75,500,5,25,3,29,66,51,0
"Microtus maximowiczii",0,0,0,0,0,0,0,0,17,0,0,4,0,2,0,0,0,0,0,0,0
"Sciurus vulgaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"Tamias sibiricus",0,0,0,0,6,0,0,247,0,65,0,0,2,11,0,50,2,0,0,0,0
