"","Halmenus cuspidatus","Lepidanthrax tinctus","Phoebis sennae","Unidentified sp1 M_PL_042","Unidentified sp2 M_PL_042","Xylocopa darwini"
"Chiococa alba",1,1,0,0,0,1
"Cordia lutea",0,0,0,0,0,1
"Cordia revoluta",0,0,0,0,0,1
"Darwiniothamnus tenuifolius",1,1,0,0,0,1
"Jasminoserius thouarsii",0,0,0,0,0,1
"Lippia rosmarinifolia",0,0,0,0,0,1
"Opuntia echios",1,1,0,0,0,1
"Passiflora foetida",0,0,0,0,0,1
"Pectis tenuifolia",0,1,0,1,1,1
"Plumbago scandens",0,0,1,0,0,0
"Scalesia affinis",1,1,0,0,0,1
"Waltheria ovata",1,1,0,0,0,1
