"","Apis mellifera","Diptera sp1 M_PL_095","Eristalinus vicarians","Hemipyrellia germana","Hemipyrellia sp1 M_PL_095","Lasioglossum mahense","Nectarinia dussumieri","Ornidia obesa","Parasarcophaga hirticeps","Rhiparida seychellensis","Unidentified sp2 M_PL_095","Unidentified sp3 M_PL_095"
"Canthium bibracteatum",5,0,0,0,3,7,0,0,0,0,0,0
"Dillenia ferruginea",2,0,0,1,0,4,1,0,1,0,0,0
"Memecylon eleagni",8,0,0,0,0,0,0,0,0,0,0,0
"Nephrosperma vanhoutteanum",8,1,0,0,0,18,0,0,0,2,4,0
"Phoenicophorium borsigianum",4,0,0,0,0,18,0,1,0,0,0,2
"Psidium cattleianum",3,0,1,0,0,0,0,2,0,0,0,0
"Psychotria pervillei",18,0,0,0,0,13,1,0,0,0,0,0
