"","Apis mellifera","Diptera sp1 M_PL_084","Diptera sp3 M_PL_084","Geron seychellarum","Lasioglossum mahense","Lygistorrhina sp1 M_PL_084","Phelsuma sp1 M_PL_084","Polistes olivaceus","Rhiparida seychellensis","Scaptodrosophila sp1 M_PL_084","Unidentified sp2 M_PL_084","Xylocopa caffra"
"Memecylon eleagni",6,0,0,0,0,0,0,0,0,0,0,1
"Mimusops sechellarum",0,1,0,0,0,0,0,0,0,2,0,0
"Nephrosperma vanhoutteanum",7,2,1,1,0,8,1,0,13,0,20,0
"Paragenipa wrightii",22,0,0,0,11,0,0,1,0,0,0,1
"Soulamea terminaloides",0,2,0,0,0,0,0,0,0,0,0,0
