"Name";"Species";"kradius";"kdegree";"kshell";"krisk";"degree"
"Amegilla canifrons";"Pollinator1";1.88888888888889;3.36674436674437;4;0.04;5
"Amegilla quadrifasciata";"Pollinator2";2.55555555555556;1.72800402212167;3;0.03;3
"Amegilla sp1 M_PL_058";"Pollinator3";1.44444444444444;4.91033411033411;4;1.04;8
"Andrena vucana";"Pollinator4";3.44444444444444;0.411764705882353;1;0.01;1
"Anthophora alluardii";"Pollinator5";1.88888888888889;3.53919283331048;4;1.04;6
"Anthophora orotavae";"Pollinator6";2.33333333333333;2.73278871111688;3;1.03;5
"Apis mellifera";"Pollinator7";1.88888888888889;3.73550893550894;4;1.04;6
"Camponotus rufoglaucus";"Pollinator8";2.77777777777778;0.538461538461538;1;0.01;1
"Coleoptera sp14 M_PL_058";"Pollinator9";2.77777777777778;1.00512820512821;2;0.02;2
"Coleoptera sp15 M_PL_058";"Pollinator10";2.77777777777778;0.777777777777778;1;0.01;1
"Coleoptera sp16 M_PL_058";"Pollinator11";2.77777777777778;0.538461538461538;1;0.01;1
"Coleoptera sp2 M_PL_058";"Pollinator12";2.77777777777778;1.69689291101056;3;2.03;4
"Coleoptera sp29 M_PL_058";"Pollinator13";3;0.466666666666667;1;0.01;1
"Coleoptera sp32 M_PL_058";"Pollinator14";3;0.466666666666667;1;0.01;1
"Coleoptera sp33 M_PL_058";"Pollinator15";2.77777777777778;0.538461538461538;1;0.01;1
"Coleoptera sp7 M_PL_058";"Pollinator16";2.77777777777778;1.00512820512821;2;0.02;2
"Cyclyrius webbianus";"Pollinator17";2.77777777777778;0.777777777777778;1;0.01;1
"Diptera sp10 M_PL_058";"Pollinator18";2.77777777777778;0.950226244343891;2;0.02;2
"Diptera sp12 M_PL_058";"Pollinator19";2.77777777777778;0.950226244343891;2;0.02;2
"Diptera sp19 M_PL_058";"Pollinator20";2.77777777777778;0.538461538461538;1;0.01;1
"Diptera sp20 M_PL_058";"Pollinator21";3.44444444444444;0.411764705882353;1;0.01;1
"Diptera sp25 M_PL_058";"Pollinator22";4.77777777777778;0.28;1;0.01;1
"Diptera sp26 M_PL_058";"Pollinator23";4.77777777777778;0.28;1;0.01;1
"Diptera sp27 M_PL_058";"Pollinator24";4.77777777777778;0.28;1;0.01;1
"Diptera sp28 M_PL_058";"Pollinator25";2.77777777777778;0.538461538461538;1;0.01;1
"Eucera gracilipes";"Pollinator26";1;7.23410961243779;4;5.04;13
"Hylaeus sp1 M_PL_058";"Pollinator27";2.77777777777778;0.950226244343891;2;0.02;2
"Hymenoptera sp24 M_PL_058";"Pollinator28";2.77777777777778;0.777777777777778;1;0.01;1
